Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Multiples vulnérabilités dans GLPI (07 octobre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-010/,alerte,CVE-2022-35914,Non disponible,Non disponible,0.975120000,Non disponible,n/a,n/a,n/a,['n/a']
Vulnérabilité dans les produits Fortinet (14 octobre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-011/,alerte,CVE-2022-40684,9.8,Critique,0.972800000,Non disponible,Execute unauthorized code or commands,Fortinet,"Fortinet FortiOS, FortiProxy, FortiSwitchManager","['FortiOS 7.2.1, 7.2.0, 7.0.6, 7.0.5, 7.0.4, 7.0.3, 7.0.2, 7.0.1, 7.0.0; FortiProxy 7.2.0, 7.0.6, 7.0.5, 7.0.4, 7.0.3, 7.0.2, 7.0.1, 7.0.0; FortiSwitchManager 7.2.0, 7.0.0']"
[MàJ] Vulnérabilité dans FortiOS SSL-VPN (13 décembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-012/,alerte,CVE-2022-42475,9.3,Critique,0.257330000,CWE-197,Execute unauthorized code or commands,Fortinet,FortiOS,"['7.2.0', '7.0.0', '6.4.0', '6.2.0', '6.0.0', '5.6.0', '5.4.0', '5.2.0', '5.0.0']"
[MàJ] Vulnérabilité dans Citrix ADC et Gateway (13 décembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-013/,alerte,CVE-2022-27518,9.8,Critique,0.190320000,CWE-664,CWE-664: Improper Control of a Resource Through its Lifetime ,Citrix,"Citrix Gateway, Citrix ADC ","['12.1', '13.0', '12.1 FIPs, NDcPP']"
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,alerte,CVE-2022-40242,7.5,Elevée,0.002010000,CWE-798,CWE-798 Use of Hard-coded Credentials,AMI,MegaRAC SPx13,['0']
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,alerte,CVE-2022-40259,8.3,Elevée,0.002610000,CWE-798,CWE-798 Use of Hard-coded Credentials,AMI,MegaRAC SPx13,['0']
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,alerte,CVE-2022-2827,7.5,Elevée,0.001500000,CWE-200,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,AMI,MegaRAC SPx13,['0']
[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi (03 février 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,alerte,CVE-2021-21974,Non disponible,Non disponible,0.904610000,Non disponible,OpenSLP heap-overflow vulnerability,n/a,VMware Cloud Foundation,['4.x before 4.2 and 3.x']
[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi (03 février 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,alerte,CVE-2020-3992,Non disponible,Non disponible,0.402050000,Non disponible,Remote code execution vulnerability,n/a,VMware ESXi,"['VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG)']"
Vulnérabilité dans Fortinet FortiOS (14 mars 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-001/,alerte,CVE-2022-41328,6.5,Moyenne,0.081040000,CWE-22,Execute unauthorized code or commands,Fortinet,FortiOS,"['7.2.0', '7.0.0', '6.4.0', '6.2.0', '6.0.0']"
[MàJ] Vulnérabilité dans Microsoft Outlook (15 mars 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-002/,alerte,CVE-2023-23397,9.8,Critique,0.883600000,CWE-20,CWE-20: Improper Input Validation,Microsoft,Microsoft Outlook 2013 Service Pack 1,['15.0.0.0']
[MàJ] Vulnérabilité dans Microsoft Outlook (15 mars 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-002/,alerte,CVE-2023-29324,6.5,Moyenne,0.116240000,CWE-73,CWE-73: External Control of File Name or Path,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
Vulnérabilité dans les produits Fortinet (13 juin 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,alerte,CVE-2023-27997,9.2,Critique,0.106510000,CWE-122,Execute unauthorized code or commands,Fortinet,FortiOS,"['7.2.0', '7.0.0', '6.4.0', '6.2.0', '6.0.0']"
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer (05 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,alerte,CVE-2023-34362,9.8,Critique,0.971310000,Non disponible,n/a,n/a,n/a,['n/a']
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer (05 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,alerte,CVE-2023-35036,Non disponible,Non disponible,0.001890000,Non disponible,n/a,n/a,n/a,['n/a']
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer (05 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,alerte,CVE-2023-35708,Non disponible,Non disponible,0.004760000,Non disponible,n/a,n/a,n/a,['n/a']
Vulnérabilité dans les produits Microsoft (12 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,alerte,CVE-2023-36884,7.5,Elevée,0.236810000,CWE-362,CWE-362: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/,alerte,CVE-2023-37580,Non disponible,Non disponible,0.345100000,Non disponible,n/a,n/a,n/a,['n/a']
[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/,alerte,CVE-2023-3519,9.8,Critique,0.964000000,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection'),Citrix,NetScaler Gateway,"['13.1', '13.0']"
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (26 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,alerte,CVE-2023-35081,7.2,Elevée,0.808220000,Non disponible,Non disponible,Ivanti,EPMM,['11.10.0.3']
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (26 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,alerte,CVE-2023-35082,10.0,Critique,0.960390000,Non disponible,Non disponible,Ivanti,EPMM,['11.10']
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (26 juillet 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,alerte,CVE-2023-35078,10.0,Critique,0.969220000,Non disponible,Non disponible,Ivanti,Endpoint Manager Mobile,[]
Multiples vulnérabilités dans Exim (02 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42118,7.5,Elevée,0.000650000,CWE-191,CWE-191: Integer Underflow (Wrap or Wraparound),Exim,libspf2,['exim 4.96-RC0-14-24b8ed847-XX']
Multiples vulnérabilités dans Exim (02 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42116,8.1,Elevée,0.000650000,CWE-121,CWE-121: Stack-based Buffer Overflow,Exim,Exim,['exim 4.95']
Multiples vulnérabilités dans Exim (02 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42115,9.8,Critique,0.000750000,CWE-787,CWE-787: Out-of-bounds Write,Exim,Exim,['exim 4.95']
Multiples vulnérabilités dans Exim (02 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42117,8.1,Elevée,0.000650000,CWE-138,CWE-138: Improper Neutralization of Special Elements,Exim,Exim,['4.96-RC1-11-315206fbf']
Multiples vulnérabilités dans Exim (02 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42119,3.1,Faible,0.000650000,CWE-125,CWE-125: Out-of-bounds Read,Exim,Exim,['exim 4.96-RC0-14-24b8ed847-XX']
Multiples vulnérabilités dans Exim (02 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42114,3.7,Faible,0.000650000,CWE-125,CWE-125: Out-of-bounds Read,Exim,Exim,['exim 4.95']
[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,alerte,CVE-2023-20198,10.0,Critique,0.883440000,CWE-420,Unprotected Alternate Channel,Cisco,Cisco IOS XE Software,"['16.1.1', '16.1.2', '16.1.3', '16.2.1', '16.2.2', '16.3.1', '16.3.2', '16.3.3', '16.3.1a', '16.3.4', '16.3.5', '16.3.5b', '16.3.6', '16.3.7', '16.3.8', '16.3.9', '16.3.10', '16.3.11', '16.4.1', '16.4.2', '16.4.3', '16.5.1', '16.5.1a', '16.5.1b', '16.5.2', '16.5.3', '16.6.1', '16.6.2', '16.6.3', '16.6.4', '16.6.5', '16.6.4a', '16.6.5a', '16.6.6', '16.6.7', '16.6.8', '16.6.9', '16.6.10', '16.7.1', '16.7.1a', '16.7.1b', '16.7.2', '16.7.3', '16.7.4', '16.8.1', '16.8.1a', '16.8.1b', '16.8.1s', '16.8.1c', '16.8.1d', '16.8.2', '16.8.1e', '16.8.3', '16.9.1', '16.9.2', '16.9.1a', '16.9.1b', '16.9.1s', '16.9.3', '16.9.4', '16.9.3a', '16.9.5', '16.9.5f', '16.9.6', '16.9.7', '16.9.8', '16.10.1', '16.10.1a', '16.10.1b', '16.10.1s', '16.10.1c', '16.10.1e', '16.10.1d', '16.10.2', '16.10.1f', '16.10.1g', '16.10.3', '16.11.1', '16.11.1a', '16.11.1b', '16.11.2', '16.11.1s', '16.12.1', '16.12.1s', '16.12.1a', '16.12.1c', '16.12.1w', '16.12.2', '16.12.1y', '16.12.2a', '16.12.3', '16.12.8', '16.12.2s', '16.12.1x', '16.12.1t', '16.12.4', '16.12.3s', '16.12.3a', '16.12.4a', '16.12.5', '16.12.6', '16.12.1z1', '16.12.5a', '16.12.5b', '16.12.1z2', '16.12.6a', '16.12.7', '16.12.9', '16.12.10', '17.1.1', '17.1.1a', '17.1.1s', '17.1.1t', '17.1.3', '17.2.1', '17.2.1r', '17.2.1a', '17.2.1v', '17.2.2', '17.2.3', '17.3.1', '17.3.2', '17.3.3', '17.3.1a', '17.3.1w', '17.3.2a', '17.3.1x', '17.3.1z', '17.3.4', '17.3.5', '17.3.4a', '17.3.6', '17.3.4b', '17.3.4c', '17.3.5a', '17.3.5b', '17.3.7', '17.3.8', '17.4.1', '17.4.2', '17.4.1a', '17.4.1b', '17.4.2a', '17.5.1', '17.5.1a', '17.5.1b', '17.5.1c', '17.6.1', '17.6.2', '17.6.1w', '17.6.1a', '17.6.1x', '17.6.3', '17.6.1y', '17.6.1z', '17.6.3a', '17.6.4', '17.6.1z1', '17.6.5', '17.6.6', '17.7.1', '17.7.1a', '17.7.1b', '17.7.2', '17.10.1', '17.10.1a', '17.10.1b', '17.8.1', '17.8.1a', '17.9.1', '17.9.1w', '17.9.2', '17.9.1a', '17.9.1x', '17.9.1y', '17.9.3', '17.9.2a', '17.9.1x1', '17.9.3a', '17.9.4', '17.9.1y1', '17.11.1', '17.11.1a', '17.12.1', '17.12.1a', '17.11.99SW']"
[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,alerte,CVE-2023-20273,7.2,Elevée,0.074720000,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Cisco,Cisco IOS XE Software,"['16.1.1', '16.1.2', '16.1.3', '16.2.1', '16.2.2', '16.3.1', '16.3.2', '16.3.3', '16.3.1a', '16.3.4', '16.3.5', '16.3.5b', '16.3.6', '16.3.7', '16.3.8', '16.3.9', '16.3.10', '16.3.11', '16.4.1', '16.4.2', '16.4.3', '16.5.1', '16.5.1a', '16.5.1b', '16.5.2', '16.5.3', '16.6.1', '16.6.2', '16.6.3', '16.6.4', '16.6.5', '16.6.4a', '16.6.5a', '16.6.6', '16.6.7', '16.6.8', '16.6.9', '16.6.10', '16.7.1', '16.7.1a', '16.7.1b', '16.7.2', '16.7.3', '16.7.4', '16.8.1', '16.8.1a', '16.8.1b', '16.8.1s', '16.8.1c', '16.8.1d', '16.8.2', '16.8.1e', '16.8.3', '16.9.1', '16.9.2', '16.9.1a', '16.9.1b', '16.9.1s', '16.9.3', '16.9.4', '16.9.3a', '16.9.5', '16.9.5f', '16.9.6', '16.9.7', '16.9.8', '16.10.1', '16.10.1a', '16.10.1b', '16.10.1s', '16.10.1c', '16.10.1e', '16.10.1d', '16.10.2', '16.10.1f', '16.10.1g', '16.10.3', '16.11.1', '16.11.1a', '16.11.1b', '16.11.2', '16.11.1s', '16.12.1', '16.12.1s', '16.12.1a', '16.12.1c', '16.12.1w', '16.12.2', '16.12.1y', '16.12.2a', '16.12.3', '16.12.8', '16.12.2s', '16.12.1x', '16.12.1t', '16.12.4', '16.12.3s', '16.12.3a', '16.12.4a', '16.12.5', '16.12.6', '16.12.1z1', '16.12.5a', '16.12.5b', '16.12.1z2', '16.12.6a', '16.12.7', '16.12.9', '16.12.10', '17.1.1', '17.1.1a', '17.1.1s', '17.1.1t', '17.1.3', '17.2.1', '17.2.1r', '17.2.1a', '17.2.1v', '17.2.2', '17.2.3', '17.3.1', '17.3.2', '17.3.3', '17.3.1a', '17.3.1w', '17.3.2a', '17.3.1x', '17.3.1z', '17.3.4', '17.3.5', '17.3.4a', '17.3.6', '17.3.4b', '17.3.4c', '17.3.5a', '17.3.5b', '17.3.7', '17.3.8', '17.4.1', '17.4.2', '17.4.1a', '17.4.1b', '17.4.2a', '17.5.1', '17.5.1a', '17.5.1b', '17.5.1c', '17.6.1', '17.6.2', '17.6.1w', '17.6.1a', '17.6.1x', '17.6.3', '17.6.1y', '17.6.1z', '17.6.3a', '17.6.4', '17.6.1z1', '17.6.5', '17.6.6', '17.7.1', '17.7.1a', '17.7.1b', '17.7.2', '17.10.1', '17.10.1a', '17.10.1b', '17.8.1', '17.8.1a', '17.9.1', '17.9.1w', '17.9.2', '17.9.1a', '17.9.1x', '17.9.1y', '17.9.3', '17.9.2a', '17.9.1x1', '17.9.3a', '17.9.4', '17.9.1y1', '17.11.1', '17.11.1a', '17.12.1', '17.12.1a', '17.11.99SW']"
[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/,alerte,CVE-2023-4966,9.4,Critique,0.952900000,CWE-119,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,Citrix,NetScaler Gateway,"['14.1', '13.1', '13.0']"
Vulnérabilité dans Apache Struts 2 (13 décembre 2023),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/,alerte,CVE-2023-50164,Non disponible,Non disponible,0.514520000,CWE-552,CWE-552 Files or Directories Accessible to External Parties,Apache Software Foundation,Apache Struts,"['2.0.0', '6.0.0']"
[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2023-46805,8.2,Elevée,0.964050000,Non disponible,Non disponible,Ivanti,IPS,"['9.1R18', '22.6R1']"
[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-21887,9.1,Critique,0.971080000,Non disponible,Non disponible,Ivanti,IPS,"['9.1R18', '22.6R1']"
[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-21893,8.2,Elevée,0.959810000,Non disponible,Non disponible,Ivanti,IPS,"['9.1R18', '22.6R1']"
[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-21888,8.8,Elevée,0.000580000,Non disponible,Non disponible,Ivanti,IPS,"['9.1R18', '22.6R1']"
[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-22024,8.3,Elevée,0.016510000,Non disponible,Non disponible,Ivanti,IPS,"['9.1R18.4', '9.1R17.3', '22.5R1.2']"
[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,alerte,CVE-2024-0402,9.9,Critique,0.000820000,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),GitLab,GitLab,"['16.0', '16.6', '16.7', '16.8']"
[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,alerte,CVE-2023-7028,10.0,Critique,0.926200000,CWE-640,CWE-640: Weak Password Recovery Mechanism for Forgotten Password,GitLab,GitLab,"['16.1', '16.2', '16.3', '16.4', '16.5', '16.6', '16.7']"
[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/,alerte,CVE-2024-21762,9.6,Critique,0.020710000,CWE-787,Execute unauthorized code or commands,Fortinet,FortiOS,"['7.4.0', '7.2.0', '7.0.0', '6.4.0', '6.2.0', '6.0.0']"
[MàJ] Vulnérabilité dans Microsoft Outlook (15 février 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-005/,alerte,CVE-2024-21413,9.8,Critique,0.000530000,CWE-20,CWE-20: Improper Input Validation,Microsoft,Microsoft Office 2016,['16.0.0']
[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect (12 avril 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/,alerte,CVE-2024-3400,10.0,Critique,0.963390000,CWE-77,CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'),Palo Alto Networks,Prisma Access,[]
Multiples vulnérabilités dans les produits Cisco (25 avril 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,alerte,CVE-2024-20353,8.6,Elevée,0.001750000,CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop'),Cisco,Cisco Firepower Threat Defense Software,"['6.2.3', '6.2.3.1', '6.2.3.2', '6.2.3.3', '6.2.3.4', '6.2.3.5', '6.2.3.6', '6.2.3.7', '6.2.3.8', '6.2.3.10', '6.2.3.11', '6.2.3.9', '6.2.3.12', '6.2.3.13', '6.2.3.14', '6.2.3.15', '6.2.3.16', '6.2.3.17', '6.2.3.18', '6.6.0', '6.6.0.1', '6.6.1', '6.6.3', '6.6.4', '6.6.5', '6.6.5.1', '6.6.5.2', '6.6.7', '6.6.7.1', '6.4.0', '6.4.0.1', '6.4.0.3', '6.4.0.2', '6.4.0.4', '6.4.0.5', '6.4.0.6', '6.4.0.7', '6.4.0.8', '6.4.0.9', '6.4.0.10', '6.4.0.11', '6.4.0.12', '6.4.0.13', '6.4.0.14', '6.4.0.15', '6.4.0.16', '6.4.0.17', '6.7.0', '6.7.0.1', '6.7.0.2', '6.7.0.3', '7.0.0', '7.0.0.1', '7.0.1', '7.0.1.1', '7.0.2', '7.0.2.1', '7.0.3', '7.0.4', '7.0.5', '7.0.6', '7.0.6.1', '7.1.0', '7.1.0.1', '7.1.0.2', '7.1.0.3', '7.2.0', '7.2.0.1', '7.2.1', '7.2.2', '7.2.3', '7.2.4', '7.2.4.1', '7.2.5', '7.2.5.1', '7.3.0', '7.3.1', '7.3.1.1', '7.4.0', '7.4.1']"
Multiples vulnérabilités dans les produits Cisco (25 avril 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,alerte,CVE-2024-20359,6.0,Moyenne,0.001280000,CWE-94,Improper Control of Generation of Code ('Code Injection'),Cisco,Cisco Firepower Threat Defense Software,"['6.2.3', '6.2.3.1', '6.2.3.2', '6.2.3.3', '6.2.3.4', '6.2.3.5', '6.2.3.6', '6.2.3.7', '6.2.3.8', '6.2.3.10', '6.2.3.11', '6.2.3.9', '6.2.3.12', '6.2.3.13', '6.2.3.14', '6.2.3.15', '6.2.3.16', '6.2.3.17', '6.2.3.18', '6.6.0', '6.6.0.1', '6.6.1', '6.6.3', '6.6.4', '6.6.5', '6.6.5.1', '6.6.5.2', '6.6.7', '6.6.7.1', '6.4.0', '6.4.0.1', '6.4.0.3', '6.4.0.2', '6.4.0.4', '6.4.0.5', '6.4.0.6', '6.4.0.7', '6.4.0.8', '6.4.0.9', '6.4.0.10', '6.4.0.11', '6.4.0.12', '6.4.0.13', '6.4.0.14', '6.4.0.15', '6.4.0.16', '6.4.0.17', '6.7.0', '6.7.0.1', '6.7.0.2', '6.7.0.3', '7.0.0', '7.0.0.1', '7.0.1', '7.0.1.1', '7.0.2', '7.0.2.1', '7.0.3', '7.0.4', '7.0.5', '7.0.6', '7.0.6.1', '7.1.0', '7.1.0.1', '7.1.0.2', '7.1.0.3', '7.2.0', '7.2.0.1', '7.2.1', '7.2.2', '7.2.3', '7.2.4', '7.2.4.1', '7.2.5', '7.2.5.1', '7.3.0', '7.3.1', '7.3.1.1', '7.4.0', '7.4.1']"
[MàJ] Vulnérabilité dans les produits Check Point  (30 mai 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/,alerte,CVE-2024-24919,8.6,Elevée,0.945430000,CWE-200,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,checkpoint,"Check Point Quantum Gateway, Spark Gateway and CloudGuard Network","['Check Point Quantum Gateway and CloudGuard Network versions R81.20, R81.10, R81, R80.40 and Check Point Spark versions R81.10, R80.20.']"
Vulnérabilité dans OpenSSH (01 juillet 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,alerte,CVE-2024-6387,8.1,Elevée,0.003190000,CWE-364,Signal Handler Race Condition,Red Hat,Red Hat Enterprise Linux 8,[]
Multiples vulnérabilités dans Roundcube (09 août 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,alerte,CVE-2024-42009,Non disponible,Non disponible,0.008100000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans Roundcube (09 août 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,alerte,CVE-2024-42008,Non disponible,Non disponible,0.008100000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans Roundcube (09 août 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,alerte,CVE-2024-42010,7.5,Elevée,0.000450000,Non disponible,n/a,n/a,n/a,['n/a']
Vulnérabilité dans SonicWall (10 septembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/,alerte,CVE-2024-40766,9.3,Critique,0.008190000,CWE-284,CWE-284 Improper Access Control,SonicWall,SonicOS,"['5.9.2.14-12o and older versions', '6.5.4.14-109n and older versions', '7.0.1-5035 and older versions']"
